Country Name,Country Code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
France,FRA,77.28,77.81999899,81.44,81.9198,83.75,78.00603771,79.26981132,80.50245972,82.04318678,83.33974409,84.8
Gabon,GAB,13,18,24,30.53803344,38.07120929,45.78453653,48.05227375,50.32012015,59.6,61,62
United Kingdom,GBR,85,85.37999855,87.47999842,89.8441,91.61,92.00029987,94.77580063,90.42455049,90.69200899,92.51662855,94.81820132
Georgia,GEO,26.9,31.52,36.94,43.3,44,47.56975964,58.45928961,59.7055046,62.7179082,68.84670565,72.53158402
Ghana,GHA,7.8,9,10.6,15,19,23,28,37.88415262,43,53,58
Guinea,GIN,1,2,3.1,4.5,6.4,9.2,13.1,18.7,21.83002304,23,26
"Gambia, The",GMB,9.2,10.8703,12.44922872,14,15.56,18.2,21.4,25.1,32.6,34.5,36.5
Guinea-Bissau,GNB,2.45,2.672,2.893990621,3.1,3.32,6.1,13.8,14.8,15.7,19.4,22.9
Greece,GRC,44.4,51.64999517,55.06999344,59.8663,63.21,66.83495949,69.08791547,69.89297065,72.23837339,75.67120669,78.11584474
Grenada,GRD,27,30,32,35,51.6,52.5,53.3,54.2,55.1,56,56.9
Guatemala,GTM,10.5,12.3,16,19.7,23.4,28.80594156,34.50932609,37.9,41.5,44.40104984,49.97
"Hong Kong SAR, China",HKG,72,72.2,72.9,74.2,79.86627043,84.94835296,87.47941467,89.41594465,90.50739533,91.74340039,92.41313602
Honduras,HND,11.09,15.9,18.12,17.8,23,27.1,29.5,31.7,36,39.38835219,42.05
Croatia,HRV,56.55,57.78997899,61.93997315,66.7476,68.57,69.84503592,72.69726967,67.09619204,75.29462599,79.07978368,78.32093274
Haiti,HTI,8.37,9,9.8,10.6,11.4,14.2,22.8,27.2,32.47362713,33.3,34.5
Hungary,HUN,65,68.01998789,70.57999815,72.6439,75.65319745,72.83473703,79.25941213,76.75054712,76.07436064,80.37169361,84.77115202
Indonesia,IDN,10.92,12.28,14.52,14.94,17.14,22.0627426,25.4473537,32.33580625,39.90463864,47.69064898,53.72649449
India,IND,7.5,10.07,11.1,12.3,13.5,14.9,16.5,18.2,20.08130004,29.4,43
Ireland,IRL,69.85,74.88997297,76.91999254,78.2477,83.49172234,83.49479167,83.5,84.11400706,87.00014011,87.00005524,91.99989097
"Iran, Islamic Rep.",IRN,15.9,19,22.73,29.95,39.35,45.33497615,53.22677167,64.04397362,70.200565,77.77083846,84.11087002
Iraq,IRQ,2.5,5,7.1,9.2,13.21,16.8,37.67,41.94,43.3,60,68
Iceland,ISL,93.39,94.8196868,96.20979955,96.5468,98.16,98.2,98.2400163,98.25520119,99.01095399,99,99
Israel,ISR,67.5,68.87387799,70.8,70.25031195,75.01775316,77.35208966,79.65312418,81.58118359,83.73315696,86.78787762,90.12734091
Italy,ITA,53.68,54.3899983,55.82999799,58.4593,55.63846022,58.14173496,61.32425277,63.077347,74.38718292,76.1,70.48342785
Jamaica,JAM,27.67,37.43861341,33.79,37.1,40.4027351,42.22122119,44.36685637,55.07206705,68.21451709,76.91999254,78.2477
Jordan,JOR,27.2,34.9,37,41.4,46.2,54.22,56.15,64.5,66.1,64.5,66.1
Japan,JPN,78.21,79.05411352,79.4964,88.21942891,89.10683302,91.05802839,93.18272128,91.72654724,91.28,92.73039781,90.21945812
Kazakhstan,KAZ,31.6,50.6,61.90662747,63.30422443,66,70.8299336,74.58772647,76.42674823,78.90391906,81.87762047,85.94259898
Kenya,KEN,7.2,8.8,10.5,13,16.5,16.58785485,16.6,17.82710021,19.5,22.56511937,29.5
Cambodia,KHM,1.26,3.1,4.94,6,14,18,32.39845171,32.90027854,34.01942115,38.66554091,42.14628149
Kiribati,KIR,9.07,10,10.74679768,11.5,12.25,14.9,18.7,23.4,29.4,36.9,38
"Korea, Rep.",KOR,83.7,83.75912015,84.07,84.77,87.55682649,89.8962558,92.84302568,95.06942188,96.02285958,96.15757918,96.50505968
Kuwait,KWT,61.4,65.76907069,70.45,75.46,78.7,82,85.6,97.99998933,99.59884959,99.54267645,99.10587967
Latin America & Caribbean (excluding high income),LAC,34.01942115,38.66554091,42.14628149,45.09644678,47.65653809,53.30957729,56.38683854,61.6070636,64.68290907,68.02392984,73.13178621
Lao PDR,LAO,7,9,10.74767619,12.5,14.26,18.2,21.87,25.51043508,29.1,30.84,33.8
Lebanon,LBN,43.68,52,61.24978572,70.5,73,74,76.11,78.18077489,80.9,80.9,84.1
Liberia,LBR,2.3,2.5,2.6,3.2,5.41,10,15.7,16.3,18.9,22,25.6
Libya,LBY,14,14,15.2,16.5,17.76,22.0627426,25.4473537,32.33580625,39.90463864,47.69064898,53.72649449
St. Lucia,LCA,32.5,34,34.82,36,39.7,41.7,43.8,46,48.3,50.7,53.3
Liechtenstein,LIE,80,85,89.4077,93.8,95.21,96.6411951,98.09390389,99.54661245,99.6112,99.206,99.812
Sri Lanka,LKA,2.6,2.9,3.2,5.41,10.5,12.1,15.1,21.3,26,29,35
Lesotho,LSO,3.86,7,10,15,22,25,32.45385695,39,40.8,42.30173357,43
Lithuania,LTU,62.12,63.6399774,67.22998933,68.4529,72.13,71.37805901,74.37664556,77.61525651,79.72258277,81.58186838,83.05555096
Luxembourg,LUX,90.62,90.02985856,91.94992374,93.7765,94.67,96.37671417,98.13669867,97.36296032,97.06129871,97.12063569,98.82242384
Latvia,LVA,68.42,69.74995456,73.11994377,75.2344,75.83,79.20058292,79.84209778,80.114077,83.57717486,86.13545644,88.9
"Macao SAR, China",MAC,55.198,60.20369672,61.31,65.8,69.78,77.60013186,81.64298546,83.17408907,83.79408961,86.46792571,88.1
Morocco,MAR,52,46.1074826,55.41605319,56,56.8,57.07999935,58.27123642,61.76221201,64.80386519,74.37631447,84.12036305
Monaco,MCO,75,80.3,87,90.7,92.4,93.36330202,95.20817797,97.05297684,98.09390389,99.54661245,99.663
Moldova,MDA,32.3,38,43.37,60,67,69.00000447,70.99999911,76.12451989,80.3,87,90.7
Madagascar,MDG,1.7,1.9,2.3,3,3.7,4.17397219,4.713662899,9.8,15,16.8,19.2824418
Maldives,MDV,26.53,34,38.9301,44.1,49.28,54.46195515,59.09258997,61.25,62.07,62.5,62.93
Mexico,MEX,31.05,37.17629541,39.75,43.46,44.39,57.43104299,59.540446,63.85224909,65.77263448,70.06991047,71.96819405
Marshall Islands,MHL,7,10,12.5,14,16.8,19.2824418,29.78777936,38.70116262,39.43255291,45.14793541,50.50743147
North Macedonia,MKD,51.9,56.7,57.44994731,65.24,68.06,70.38020308,72.15681447,74.51682418,79.16775519,81.41288276,81.40553811
Mali,MLI,2,2.2,2.8,3.5,7,10.33,14,18.9,21.4,24.2,27.4
Malta,MLT,63,68.01982379,68.19987429,68.9138,73.17,75.96001898,78.0751488,81.01191108,81.65804429,85.77856081,86.85876416
Myanmar,MMR,0.25,0.98,1.4,1.8,7.4,10.9,16,23.62108195,28.7,34.9,35.1
Middle East & North Africa (excluding high income),MNA,20.84902874,23.13447191,26.20332089,29.93522829,34.96033596,39.43255291,45.14793541,50.50743147,55.52802598,64.29270008,73.63170568
Montenegro,MNE,37.5,35.61154125,56.83878255,60.31,61,68.11978601,69.88164684,71.27233254,71.51710049,73.47666575,77.60879306
Mongolia,MNG,10.2,12.49999111,16.4,17.69998424,19.94244743,22.50000413,22.2657705,23.71426517,47.13000188,51.07999408,62.50002848
Mozambique,MOZ,4.17,4.6,5,5.5,6,6.5,7,7.8,10.9,15.1,16.5
Mauritania,MRT,4,4.5,5,6.2,11.8,17.6,24.1,24.2,35.1,36.7,40.8
Mauritius,MUS,28.33,34.95,35.42,40.11682514,44.80327537,50.13931848,52.19132594,55.4032403,58.5961697,61.72995515,64.88490358
Malawi,MWI,2.26,3.33,4.3506,5.05,5.83,6,6.3,7,8,9.9,11.43
Malaysia,MYS,56.3,61,65.8,57.05751226,63.66542588,71.06406781,78.78830993,80.14047901,81.20104862,84.18714501,89.55501192
North America,NAC,72.54899829,71.05695843,75.53352977,72.84930272,74.42523105,76.11729383,86.11499711,87.8276295,89.12410008,90.15198416,91.52128299
Namibia,NAM,11.6,12,12.9414,13.9,14.84,25.68785182,31.03334594,36.83740647,40,40.5,41
Nigeria,NGA,11.5,13.8,16.1,19.1,21,24.5,25.67,28,31.9,33.6,35.5
Nicaragua,NIC,10,10.6,13.5,15.5,17.6,19.7042915,24.57183396,30.4,37.6,37.8,45.2
Netherlands,NLD,90.72,91.41999576,92.85999236,93.9564,91.666666,91.72413793,90.4109589,93.19727891,91.89189189,93.2885906,91.33333333
Norway,NOR,93.39,93.48998265,94.64997805,95.0534,96.3,96.81032569,97.29820367,96.3576013,96.49165799,98.00000439,97
Nepal,NPL,7.93,9,11.1493,13.3,15.44,17.58161801,20.7,24.3,28.6,32.8,37.7
New Zealand,NZL,80.46,81.23,81.64447018,82.78,84,85.2,86.5,87.7,89,90.2,91.5
Oman,OMN,35.8278,48,60,66.45,70.22,73.53,76.84539047,80.18563573,85.5,90.3,95.23
Pakistan,PAK,8,8,8.1,9,10,11,12.38544676,13.78,15.34,17.07090203,25
Panama,PAN,40.1,42.7,40.30189522,44.03,44.92,51.20542499,54,59.9506309,61.80553132,63.62841477,64.25
Peru,PER,34.77,36.01,38.2,39.2,40.2,40.85260091,45.46174069,50.45041218,55.05433424,59.95050106,65.25
Philippines,PHL,25,29,30.8,32.7,34.7,36.9,39.2,41.6,44.1,43.02661187,49.8
Papua New Guinea,PNG,1.28,2,3.5,5.1,6.5,7.9,9.601538462,11.20919659,18,20,21.76763262
Poland,POL,62.32,61.94999897,62.30999727,62.8492,66.6,67.99698716,73.3007041,75.98536595,77.54173454,80.43590724,83.18488715
Puerto Rico,PRI,45.3,48,68.9999826,68.99999,69,63.46633538,68.6438072,68.74077314,70.85639974,77.73643937,78.45526741
Portugal,PRT,53.3,55.24999688,60.33999749,62.0956,64.59,68.63286148,70.42356709,73.79121395,74.66096815,75.34637794,78.26166044
Paraguay,PRY,19.8,24.76351588,29.34,36.9,43,49.71630466,53.40412748,61.07575622,64.99354302,68.51762842,73.95751114
West Bank and Gaza,PSE,37.4,41.08,43.4,46.6,53.67,56.7,59.9,63.3,64.39999371,70.6225837,74.6
Qatar,QAT,69,69,69.3,85.3,91.49,92.88482645,95.12466217,97.38884917,99.65284913,99.65280421,99.65284913
Romania,ROU,39.93,40.00999678,45.87999425,49.7645,54.08,55.76315563,59.50395129,63.74728218,70.68127793,73.65747575,78.45526741
Russian Federation,RUS,49,58,66,67.97,70.52,70.09924123,73.09143462,76.00813853,80.86472187,82.64216156,84.99467026
Rwanda,RWA,8,7,8.023854277,9,10.6,18,20,21.76763262,25,26,26.5
South Asia,SAS,7.159897553,9.228820684,10.11200179,11.31699486,12.84579725,14.17472639,16.12973203,17.88886055,19.83763049,27.27102576,38.56237561
Saudi Arabia,SAU,41,47.5,54,60.5,64.71365737,69.6162358,74.87927469,94.17559961,93.31000185,95.7247356,97.86
Sudan,SDN,4,4.5,5,6.2,11.8,12.99,14.09999994,18.6,24.6,25.9,28.4
Senegal,SEN,8,9.8,10.8,13.1,17.7,21.7,25.66476804,29.64312367,35.3,39.5,42.6
Singapore,SGP,71,71,72,80.90205685,82.1,83.2,84.45226789,84.45226789,88.16563603,88.94925269,92.00434653
Solomon Islands,SLB,5,6,6.9974,8,9,10.00046498,11.00090227,11.92422906,12.35,14.905,17.4465
Sierra Leone,SLE,0.58,0.9,2.5,4,6.057298984,6.344421603,11.77318438,13.23693043,15.8,16.8,18
El Salvador,SLV,15.9,18.9,20.32138772,23.1093,24.76171215,26.80260496,28.99707305,33.8207289,43.8,50.49119319,54.60137027
Somalia,SOM,0.9,1.25,1.3767,1.5,1.63,1.76,1.88,2.004048698,2.312,3.56,5.1
